Data: 21/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell,Tempo di Refactoring
147,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/TaskExecutionDetails.java,5.0.0,2,630
148,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/MergeLinkedAccountsReviewPanel.java,5.0.0,5,626
149,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/AttrRepoDirectoryPanel.java,5.0.0,4,616
150,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/AuthModuleDirectoryPanel.java,5.0.0,4,616
151,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxGrid.java,5.0.0,11,615
152,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/PasswordManagementDirectoryPanel.java,5.0.0,3,608
153,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/AbstractChangePassword.java,5.0.0,3,605
154,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxCheckBoxPanel.java,5.0.0,2,600
155,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyPanel.java,5.0.0,7,600
156,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/MergeLinkedAccountsResourcesPanel.java,5.0.0,2,600
157,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/user/Neo4jUser.java,5.0.0,17,600
158,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SAML2IdPEntityDirectoryPanel.java,5.0.0,2,600
159,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/events/SelectedEventsPanel.java,5.0.0,2,600
160,SYNCOPE,ext/flowable/client-enduser/src/main/java/org/apache/syncope/client/enduser/panels/UserRequestDetails.java,5.0.0,2,600
161,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/LinkedAccountDetailsPanel.java,5.0.0,7,598
162,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/pages/WA.java,5.0.0,3,593
